,0
0,6983.404
1,6889.741
2,7065.607
3,6462.243
4,6570.432
5,6128.656
6,6136.663
7,5924.044
8,6124.82
9,5893.682
10,5978.908
11,6197.095
12,6138.503
13,5886.884
14,5980.611
15,6041.326
16,5589.307
17,5514.189
18,5271.233
19,5469.125
20,5399.477
21,5586.627
22,5610.173
23,5721.485
24,5664.197
25,5668.04
26,5902.534
27,5971.412
28,5957.131
29,5979.516
30,6103.723
31,6070.5
32,6111.043
33,5626.052
34,5648.938
35,5350.434
36,5473.635
37,5753.148
38,5776.977
39,5621.561
40,5752.548
41,5764.325
42,5617.038
43,5521.948
44,5508.982
45,5690.59
46,5639.801
47,5562.804
48,5745.975
49,5949.263
50,6099.481
51,6075.492
52,6118.966
53,6018.424
54,6077.431
55,6037.778
56,5921.867
57,6137.503
58,6155.814
59,6124.528
60,6286.583
61,6323.434
62,6228.974
63,6168.742
64,6304.3
65,6252.773
66,6344.226
67,6401.855
68,6384.35
69,6281.202
70,6308.229
71,6022.213
72,5970.682
73,6011.32
74,5978.077
75,6046.773
76,6016.699
77,5990.329
78,5985.594
79,6167.454
80,6169.783
81,6203.817
82,5961.489
83,5743.647
84,5738.896
85,5723.41
86,5726.456
87,5714.311
88,5812.542
89,5790.342
90,5631.193
91,5666.733
92,5732.902
93,5809.476
94,5743.178
95,5715.183
96,5744.388
97,5739.59
98,5711.315
99,5947.322
100,5973.78
101,6013.894
102,6032.603
103,6051.86
104,6045.357
105,6023.878
106,5746.444
107,5762.761
108,5952.846
109,5930.545
110,5964.272
111,5985.569
112,5916.803
113,6008.886
114,5978.174
115,5903.62
116,6044.219
117,6107.511
118,6120.202
119,6123.494
120,6111.539
121,6231.881
122,6269.505
123,6297.397
124,6319.793
125,6299.853
126,6312.499
127,6395.145
128,6446.563
129,6455.583
130,6441.016
131,6412.073
132,6431.938
133,6417.922
134,6442.709
135,6390.925
136,6408.783
137,6494.474
138,6229.289
139,6243.288
140,6202.892
141,6109.278
142,6168.509
143,6198.389
144,6238.231
145,6203.287
146,6290.756
147,6341.55
148,6318.268
149,6226.313
150,6299.092
151,6442.527
152,6468.895
153,6488.365
154,6490.408
155,6499.555
156,6420.354
157,6428.698
158,6435.059
159,6382.57
160,6410.734
161,6427.529
162,6425.754
163,6434.21
164,6381.476
165,6356.954
166,6391.792
167,6492.972
168,6494.316
169,6517.984
170,6471.053
171,6291.636
172,6320.032
173,6278.158
174,6344.181
175,6342.033
176,6343.754
177,6385.635
178,6370.583
179,6241.516
180,6286.909
181,6281.284
182,6298.791
183,6328.086
184,6447.693
185,6486.425
186,6482.738
187,6484.831
188,6469.492
189,6413.149
190,6509.282
191,6495.257
192,6498.238
193,6475.281
194,6539.466
195,6563.354
196,6530.39
197,6517.359
198,6455.835
199,6452.206
200,6507.95
201,6455.13
202,6483.732
203,6462.593
204,6468.817
205,6503.178
206,6453.572
207,6536.965
208,6583.886
209,6615.007
210,6640.462
211,6644.188
212,6636.469
213,6602.327
214,6611.54
215,6661.246
216,6631.173
217,6623.049
218,6652.818
219,6670.804
220,6620.795
221,6585.578
222,6624.466
223,6520.975
224,6486.017
225,6490.89
226,6558.025
227,6527.434
228,6513.916
229,6249.078
230,6278.179
231,6239.499
232,6280.398
233,6318.524
234,6320.732
235,6300.638
236,6347.606
237,6341.788
238,6281.997
239,6294.755
240,6288.859
241,6270.24
242,6252.608
243,6263.626
244,6320.763
245,6394.669
246,6399.284
247,6371.617
248,6415.418
249,6393.928
250,6331.964
251,6272.851
252,6194.658
253,6031.241
254,6082.066
255,6068.593
256,6043.675
257,6121.998
258,6172.167
259,6165.264
260,6179.568
261,6223.706
262,6207.092
263,6259.247
264,6255.927
265,6291.598
266,6331.177
267,6337.108
268,6369.653
269,6374.885
270,6311.696
271,6359.336
272,6307.163
273,6385.063
274,6434.438
275,6474.225
276,6473.993
277,6476.166
278,6424.255
279,6450.97
280,6467.639
281,6434.626
282,6452.839
283,6517.324
284,6523.187
285,6497.088
286,6439.382
287,6447.917
288,6507.896
289,6493.485
290,6486.062
291,6543.341
292,6483.693
293,6498.566
294,6515.9458
295,6499.7928
296,6512.1874
297,6546.615
298,6516.0326
299,6498.6902
300,6480.543
301,6375.7437
302,6401.6479
303,6539.9665
304,6559.6526
305,6578.726
306,6566.5441
307,6629.1661
308,6576.4761
309,6615.7042
310,6528.1624
311,6456.598
312,6418.2114
313,6350.6465
314,6347.7732
315,6300.7128
316,6138.5049
317,6160.4612
318,6176.3981
319,6192.3044
320,6211.8624
321,6216.115
322,6197.4779
323,6176.3053
324,6089.6828
325,5975.5395
326,6012.0016
327,5885.841
328,5872.6391
329,5863.7832
330,5893.5075
331,6014.7344
332,6027.6504
333,5976.2998
334,5974.9772
335,5888.8127
336,5764.8759
337,5799.2499
338,5850.8006
339,5836.9338
340,5824.1042
341,5709.9994
342,5772.5174
343,5815.8022
344,5841.5232
345,5955.0153
346,5958.977
347,5969.2741
348,5902.8551
349,5980.0566
350,5966.4314
351,6021.1651
352,6012.9996
353,6057.4115
354,6066.9046
355,6078.1925
356,5992.3352
357,6010.3137
358,6111.6406
359,6113.1658
360,6086.2112
361,6116.9932
362,6138.1556
363,6177.3953
364,6146.8527
365,6193.9641
366,6201.6535
367,6226.0108
368,6206.5568
369,6128.9942
370,6132.9922
371,6149.9337
372,6128.7397
373,5876.4592
374,5938.4342
375,6059.3582
376,6099.2835
377,6126.1083
378,6167.1282
379,6153.5984
380,6146.7028
381,6184.0207
382,6215.4633
383,6298.0004
384,6286.5362
385,6251.8627
386,6261.9676
387,6225.1151
388,6303.4209
389,6303.716
390,6340.022
391,6289.2174
392,6161.1903
393,6292.6418
394,6314.7608
395,6318.7986
396,6366.034
397,6347.7557
398,6403.7803
399,6375.9814
400,6322.7819
401,6278.59
402,6346.5305
403,6424.5841
404,6408.1567
405,6453.4636
406,6470.4259
407,6526.5046
408,6564.6804
409,6571.8591
410,6607.1176
411,6558.5963
412,6574.1826
413,6649.6276
414,6644.0118
415,6684.3798
416,6672.1849
417,6622.0438
418,6669.4548
419,6636.0201
420,6692.4724
421,6612.0456
422,6572.0096
423,6489.8441
424,6520.7175
425,6583.1401
426,6567.7915
427,6603.2587
428,6678.371
429,6705.4812
430,6666.4696
431,6659.0957
432,6709.8164
433,6619.2056
434,6612.9428
435,6563.4369
436,6501.3999
437,6571.424
438,6612.7637
439,6603.0042
440,6647.892
441,6671.9288
442,6630.8067
443,6511.7616
444,6560.2054
445,6552.9545
446,6484.9258
447,6426.9799
448,6511.0958
449,6551.9363
450,6561.6897
451,6611.3517
452,6641.2164
453,6671.2054
454,6614.5136
455,6537.6563
456,6558.3085
457,6361.9415
458,6433.1702
459,6456.352
460,6439.4419
461,6274.5116
462,6278.0287
463,6194.5522
464,6299.3122
465,6318.3684
466,6263.421
467,6316.4072
468,6279.6206
469,6132.912
470,6172.8031
471,6135.4702
472,6203.1433
473,6286.1656
474,6233.2115
475,6277.441
476,6284.0807
477,6235.7608
478,6199.9889
479,6251.2416
480,6199.3628
481,6238.4987
482,6242.8847
483,6185.5907
484,6220.1473
485,6173.1528
486,6204.2702
487,6250.8207
488,6332.2269
489,6388.2533
490,6417.535
491,6417.2537
492,6446.1818
493,6445.7462
494,6405.9395
495,6425.9401
496,6399.3737
497,6253.3759
498,6301.1327
499,6267.4599
500,6286.8007
501,6272.38
502,6347.6383
503,6354.9978
504,6394.2999
505,6382.7165
506,6383.6312
507,6309.8836
508,6313.442
509,6189.3413
510,5984.7428
511,6004.8494
512,5998.2236
513,5704.2641
514,5711.3322
515,5766.4797
516,5554.8974
517,5699.0979
518,5736.9505
519,5754.8344
520,5875.7272
521,5897.6765
522,6029.6795
523,6010.5573
524,6023.677
525,6090.2247
526,6056.3354
527,6064.0983
528,6145.5768
529,6086.4874
530,6131.5142
531,6206.9754
532,6295.7776
533,6254.1457
534,6189.317
535,6180.1108
536,6146.3058
537,6153.8339
538,
539,
540,
541,
542,
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
